Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 11/14  23:00:00,1.180547199,2.899473346,0,2.226184427,0.05960714,0.05960714,0.05960714,0.367848589,0.076214096,0.21075981,0.450769564,0.642238195
 11/14  24:00:00,0.925322859,3.095278851,0,2.569530868,0.068800403,0.068800403,0.068800403,0.255894671,0.053018496,0.140550925,0.391710364,0.498765482
 11/15  01:00:00,0.671714148,3.378308575,0,3.009363153,0.08057712,0.08057712,0.08057712,0.133278474,0.027613807,0.090892612,0.324004135,0.346626784
 11/15  02:00:00,0.575947873,3.624759629,0,3.326937368,0.08908032,0.08908032,0.08908032,0.079967085,0.016568276,0.07666173,0.298322463,0.277272674
 11/15  03:00:00,0.532752938,3.792589451,0,3.513895514,0.094086212,0.094086212,0.094086212,0.05331139,0.01104552,0.064098165,0.294863651,0.258382607
 11/15  04:00:00,0.525953787,3.969079399,0,3.685230135,0.098673778,0.098673778,0.098673778,0.05331139,0.01104552,0.056862021,0.290713078,0.263823841
 11/15  05:00:00,0.528459873,4.138397673,0,3.799993108,0.101746611,0.101746611,0.101746611,0.05331139,0.01104552,0.067277,0.279731353,0.319135604
 11/15  06:00:00,0.57729327,4.278210892,0,3.695440692,0.09894717,0.09894717,0.09894717,0.058642536,0.012150073,0.080047784,0.312157707,0.561267588
 11/15  07:00:00,0.725254042,4.519089038,0,3.481050548,0.093206773,0.093206773,0.093206773,0.101291641,0.020986482,0.133753612,0.360667534,1.013194336
 11/15  08:00:00,0.962864996,4.892203171,0,3.728106331,0.099821808,0.099821808,0.099821808,0.197252142,0.040868427,0.211338342,0.383236277,1.137698067
 11/15  09:00:00,0.920662114,4.001771459,0,2.874339752,0.076961805,0.076961805,0.076961805,0.191921003,0.039763875,0.272663295,0.324004135,1.105113068
